sigma_tot_up52,,sigma_tot_up72,,sigma_HI,,sigma_H2,,vcirc_kam,,vcirc_koch,,sigma_sfr,
r kpc,sigma_tot_up52,r kpc,sigma_tot_up72,r kpc,sigma_HI,r kpc,sigma_H2,r kpc,kms_vcirc_Kam,arcsec_r,kms_vcirc_Koch,r kpc,sigma_sfr
0.521947805,201.7599969,0.521947805,279.3599958,,,,,,,,,,
0.523947605,201.5337694,0.523947605,279.0467577,,,,,,,,,,
0.525947405,201.3077956,0.525947405,278.7338708,,,,,,,,,,
0.527947205,201.0820751,0.527947205,278.4213347,,,,,,,,,,
0.529947005,200.8566077,0.529947005,278.1091491,,,,,,,,,,
0.531946805,200.6313931,0.531946805,277.7973135,,,,,,,,,,
0.533946605,200.406431,0.533946605,277.4858276,,,,,,,,,,
0.535946405,200.1817212,0.535946405,277.1746909,,,,,,,,,,
0.537946205,199.9572634,0.537946205,276.8639031,,,,,,,,,,
0.539946005,199.7330572,0.539946005,276.5534638,,,,,,,,,,
0.541945805,199.5091024,0.541945805,276.2433726,,,,,,,,,,
0.543945605,199.2853987,0.543945605,275.933629,,,,,,,,,,
0.545945405,199.0619459,0.545945405,275.6242328,,,,,,,,,,
0.547945205,198.8387436,0.547945205,275.3151835,,,,,,,,,,
0.549945005,198.6157916,0.549945005,275.0064807,,,,,,,,,,
0.551944806,198.3930896,0.551944806,274.698124,,,,,,,,,,
0.553944606,198.1706373,0.553944606,274.3901131,,,,,,,,,,
0.555944406,197.9484344,0.555944406,274.0824476,,,,,,,,,,
0.557944206,197.7264807,0.557944206,273.7751271,,,,,,,,,,
0.559944006,197.5047758,0.559944006,273.4681511,,,,,,,,,,
0.561943806,197.2833195,0.561943806,273.1615193,,,,,,,,,,
0.563943606,197.0621115,0.563943606,272.8552314,,,,,,,,,,
0.565943406,196.8411516,0.565943406,272.5492869,,,,,,,,,,
0.567943206,196.6204394,0.567943206,272.2436854,,,,,,,,,,
0.569943006,196.3999748,0.569943006,271.9384266,,,,,,,,,,
0.571942806,196.1797573,0.571942806,271.6335101,,,,,,,,,,
0.573942606,195.9597867,0.573942606,271.3289354,,,,,,,,,,
0.575942406,195.7400628,0.575942406,271.0247023,,,,,,,,,,
0.577942206,195.5205852,0.577942206,270.7208103,,,,,,,,,,
0.579942006,195.3013538,0.579942006,270.417259,,,,,,,,,,
0.581941806,195.0823681,0.581941806,270.1140482,,,,,,,,,,
0.583941606,194.863628,0.583941606,269.8111772,,,,,,,,,,
0.585941406,194.6451332,0.585941406,269.5086459,,,,,,,,,,
0.587941206,194.4268833,0.587941206,269.2064539,,,,,,,,,,
0.589941006,194.2088782,0.589941006,268.9046006,,,,,,,,,,
0.591940806,193.9911175,0.591940806,268.6030858,,,,,,,,,,
0.593940606,193.773601,0.593940606,268.3019091,,,,,,,,,,
0.595940406,193.5563284,0.595940406,268.0010701,,,,,,,,,,
0.597940206,193.3392994,0.597940206,267.7005684,,,,,,,,,,
0.599940006,193.1225138,0.599940006,267.4004037,,,,,,,,,,
0.601939806,192.9059712,0.601939806,267.1005755,,,,,,,,,,
0.603939606,192.6896714,0.603939606,266.8010835,,,,,,,,,,
0.605939406,192.4736142,0.605939406,266.5019273,,,,,,,,,,
0.607939206,192.2577992,0.607939206,266.2031066,,,,,,,,,,
0.609939006,192.0422262,0.609939006,265.9046209,,,,,,,,,,
0.611938806,191.8268949,0.611938806,265.6064699,,,,,,,,,,
0.613938606,191.6118051,0.613938606,265.3086532,,,,,,,,,,
0.615938406,191.3969564,0.615938406,265.0111704,,,,,,,,,,
0.617938206,191.1823487,0.617938206,264.7140212,,,,,,,,,,
0.619938006,190.9679815,0.619938006,264.4172052,,,,,,,,,,
0.621937806,190.7538548,0.621937806,264.120722,,,,,,,,,,
0.623937606,190.5399681,0.623937606,263.8245712,,,,,,,,,,
0.625937406,190.3263213,0.625937406,263.5287525,,,,,,,,,,
0.627937206,190.112914,0.627937206,263.2332655,,,,,,,,,,
0.629937006,189.899746,0.629937006,262.9381098,,,,,,,,,,
0.631936806,189.686817,0.631936806,262.6432851,,,,,,,,,,
0.633936606,189.4741268,0.633936606,262.3487909,,,,,,,,,,
0.635936406,189.261675,0.635936406,262.054627,,,,,,,,,,
0.637936206,189.0494615,0.637936206,261.7607929,,,,,,,,,,
0.639936006,188.8374859,0.639936006,261.4672882,,,,,,,,,,
0.641935806,188.625748,0.641935806,261.1741127,,,,,,,,,,
0.643935606,188.4142476,0.643935606,260.8812658,,,,,,,,,,
0.645935406,188.2029842,0.645935406,260.5887474,,,,,,,,,,
0.647935206,187.9919578,0.647935206,260.2965569,,,,,,,,,,
